Date,avg_temp,total_percip,avg_pm2_5
2020-01-01,0.5,0,5.625
2020-01-02,3.3,0,5.16666666666667
2020-01-03,5.1,0,13.125
2020-01-04,2.1,1.4,5.79166666666667
2020-01-05,0.4,2.3,4.16666666666667
2020-01-06,1.2,0,4.83333333333333
2020-01-07,0.2,0,6.875
2020-01-08,-3.4,0.5,3.45833333333333
2020-01-09,-3.4,0,4.45833333333333
2020-01-10,4.2,2,6.95833333333333
2020-01-11,7,60.4,3.54166666666667
2020-01-12,-1.5,15.5,3.45833333333333
2020-01-13,-0.7,0,7.66666666666667
2020-01-16,-3.5,0,5.875
2020-01-17,-9.9,0,3.5
2020-01-18,-1.7,11,4.45833333333333
2020-01-19,-4.2,0,7.29166666666667
2020-01-20,-8.5,0,5.04166666666667
2020-01-21,-4.2,0,6.54166666666667
2020-01-22,-2,0,13.4166666666667
2020-01-23,-0.4,0,12.625
2020-01-24,2,21.8,13.7083333333333
2020-01-25,2.7,6.6,7.54166666666667
2020-01-26,2.5,0.7,7.5
2020-01-27,1.8,0,4.41666666666667
2020-01-30,-2.7,0,6.25
2020-01-31,-1.1,0,11.875
2020-02-01,-0.5,0.2,14.9583333333333
2020-02-02,1.3,4.5,7.95833333333333
2020-02-03,3.1,0,8.54166666666667
2020-02-04,-0.1,0,5.70833333333333
2020-02-05,-4.4,0.5,3.66666666666667
2020-02-06,-3.5,3,4.625
2020-02-07,-5.3,0.2,3.33333333333333
2020-02-08,-9.1,0,7.33333333333333
2020-02-09,-2.1,4.5,13.7916666666667
2020-02-10,2.6,0,10.125
2020-02-11,1.1,0,11.4166666666667
2020-02-12,-0.3,0,11.5
2020-02-13,-7.1,1,10.0416666666667
2020-02-14,-12.9,0,4.25
2020-02-15,-3.2,0,9.95833333333333
2020-02-16,1.2,0,13.0416666666667
2020-02-17,-1.7,0,6.125
2020-02-18,2.4,5.8,8
2020-02-19,-2.5,0,5.375
2020-02-20,-6.5,0,4.33333333333333
2020-02-21,-3.7,0,6.625
2020-02-22,0.9,0,7.625
2020-02-23,3.8,0,11.5
2020-02-24,4.6,0,16.75
2020-02-25,3.8,0.5,8.83333333333333
2020-02-26,0.5,6.5,3.75
2020-02-27,-3.7,0.4,2.54166666666667
2020-02-28,-5.9,0.2,4.41666666666667
2020-02-29,-7.7,0,5.125
2020-03-01,-2.2,0,7.875
2020-03-03,3,13.3,11.0416666666667
2020-03-04,4.1,0,5.375
2020-03-05,1.8,0,8.29166666666667
2020-03-06,1.6,1.3,7.70833333333333
2020-03-07,-1,0,4.95833333333333
2020-03-09,7.7,0,9.16666666666667
2020-03-10,5.6,4.5,6.91666666666667
2020-03-11,0.5,0,12.375
2020-03-12,3.4,0.5,14.7916666666667
2020-03-14,2.4,0,4.75
2020-03-15,0.3,0,4
2020-03-16,0.7,0.4,5.625
2020-03-17,4.9,0,8.83333333333333
2020-03-18,0.9,0.8,12.2916666666667
2020-03-19,4.3,2.9,13.625
2020-03-20,5.7,1.5,0.75
2020-03-21,-4.1,0,2
2020-03-22,-0.9,0,3.83333333333333
2020-03-23,2.2,10.1,7.45833333333333
2020-03-24,3.4,0,9.41666666666667
2020-03-25,3.9,0,14.0833333333333
2020-03-26,7.4,0,10.5
2020-03-27,4.9,0,8.83333333333333
2020-03-28,4.7,2.1,5.20833333333333
2020-03-29,10.6,10.2,1.875
2020-03-30,7,2.6,2.125
2020-03-31,5.3,0.4,3.66666666666667
2020-04-01,6.2,0,4.25
2020-04-02,9.1,0,6.45833333333333
2020-04-03,7.5,0.5,6
2020-04-04,7.7,0,6.25
2020-04-05,7.6,0,4.125
2020-04-07,7.7,8,8.16666666666667
2020-04-08,10.2,0.8,6.75
2020-04-09,6,8.2,2.91666666666667
2020-04-10,4.6,0,2.375
2020-04-11,4.5,0,5.91666666666667
2020-04-12,7.2,0.2,6.375
2020-04-13,8.6,14.8,4.16666666666667
2020-04-14,3.5,0,4.25
2020-04-15,2,0,7.58333333333333
2020-04-16,1.6,0,6.125
2020-04-17,2.7,0,7.58333333333333
2020-04-18,3.6,0,11.8333333333333
2020-04-19,5.9,0.2,7
2020-04-20,2.6,0,3.91666666666667
2020-04-21,3,0.8,3.91666666666667
2020-04-22,2.6,0,6.58333333333333
2020-04-23,2.3,0,8
2020-04-24,7,0,11.3333333333333
2020-04-25,6.5,0,6.25
2020-04-26,8.8,1.9,3.70833333333333
2020-04-27,9.6,0,6.91666666666667
2020-04-28,7.6,0,7.79166666666667
2020-04-29,9.4,0.4,4.91666666666667
2020-04-30,8.8,10.7,4.33333333333333
2020-05-01,11.7,0.4,3.75
2020-05-02,9.5,0.8,7.08333333333333
2020-05-03,13.9,0,7.04166666666667
2020-05-04,7.8,0,3.70833333333333
2020-05-05,5.1,0,4
2020-05-06,7.9,0,3.125
2020-05-07,7.5,4.2,5.95833333333333
2020-05-08,2.3,0,3.91666666666667
2020-05-09,2.5,0,3.79166666666667
2020-05-10,5.4,0,6.125
2020-05-11,4.6,4.5,3.04166666666667
2020-05-12,4.4,0,4.70833333333333
2020-05-13,5.4,0,3.375
2020-05-14,7.5,2.9,6.29166666666667
2020-05-15,11.5,9.6,4.25
2020-05-16,12.1,0,5.45833333333333
2020-05-17,11.5,1.7,4.54166666666667
2020-05-18,11.8,7.3,6.54166666666667
2020-05-19,13.1,0,4.91666666666667
2020-05-20,13.2,0,5.33333333333333
2020-05-21,11.4,0,6.54166666666667
